この間	このあいだ	the other day, recently
便利	べんり	convenience, handiness
先	さき	ahead, first
利用	りよう	utilization, usage
動く	うごく	move
宣伝	せんでん	publicity, advertisement
方向	ほうこう	direction, course
横	よこ	side, width across
見つける	みつける	find
通う	かよう	go to and from, frequent a place
おしゃべり	おしゃべり	chatter, talkative
にっこり	にっこり	smiling, grinning
はっきり	はっきり	clearly
交通機関	こうつうきかん	(means of) transportation
会釈	えしゃく	slight bow (as a greeting or sign of gratitude)
気が進まない	きがすすまない	reluctant to
耳に入る	みみにはいる	to reach one's ears
時々	ときどき	sometimes
迷う	まよう	to lose one's way
